ID	Views	Name	Title	Duration	
1	94050	The Daily Show with Trevor Noah	The Daily Show - Vice Presidential Debate Wrap-Up	11:21	
2	110320	Brave Wilderness	Making a Tide Pool Aquarium!	13:20	
3	1315322	NBC News	The Vice-Presidential Debate: Tim Kaine And Mike Pence (Full Debate) | NBC News	2:30:46	
4	10404785	Disney Movie Trailers	Teaser Trailer: Pirates of the Caribbean: Dead Men Tell No Tales	1:50	
5	302260	The Late Show with Stephen Colbert	Stephen Is Fuzzing Happy The VP Debate Is Over	7:59	
6	250408	Late Night with Seth Meyers	Trump&#39;s Terrible Week Continues: A Closer Look	7:30	
7	1340906	IISuperwomanII	Why Bras Are Horrible!	7:21	
8	1274720	The Late Late Show with James Corden	&#39;The Grand Tour&#39; Grand Racing Quiz	8:00	
9	1316064	Screen Junkies	Honest Trailers - The Flash (TV)	7:02	
10	825995	FOX 10 Phoenix	WOW: Joe Biden PASSIONATELY Calls Out Donald Trump on His PTSD Comments, Shares Story of Son - FNN	3:29	
11	2966118	pokemon	Evolved Forms of the Starter PokÃ©mon Revealed in PokÃ©mon Sun and PokÃ©mon Moon!	3:50	
12	375555	Cracked	7 Movie Jokes You Missed If You Only Speak English	3:48	
13	760813	jacksfilms	There&#39;s something I need to tell you	1:19	
14	1229591	Netflix US &amp; Canada	Lemony Snicket&#39;s A Series of Unfortunate Events | Teaser Trailer [HD] | Netflix	1:29	
15	1019583	The Voice	The Voice 2016 Blind Audition - Natasha Bure: &quot;Can&#39;t Help Falling in Love&quot;	1:26	
16	34334723	TheWeekndVEVO	The Weeknd - Starboy ft. Daft Punk	4:34	
17	371958124	ChainsmokersVEVO	The Chainsmokers - Closer (Lyric) ft. Halsey	4:22	
18	100531944	SiaVEVO	Sia - The Greatest	5:52	
19	748006208	CalvinHarrisVEVO	Calvin Harris - This Is What You Came For (Official Video) ft. Rihanna	4:00	
20	225969106	Charlie Puth	Charlie Puth - We Don&#39;t Talk Anymore (feat. Selena Gomez) [Official Video]	3:51	
21	116225366	Skrillex	Skrillex &amp; Rick Ross - Purple Lamborghini [Official Video]	4:22	
22	45410798	UsherVEVO	Usher - No Limit ft. Young Thug	3:56	
23	8186140	RaeSremmurdVEVO	Rae Sremmurd - Black Beatles ft. Gucci Mane	4:53	
24	28269197	LIL UZI VERT	Lil Uzi Vert - Money Longer	4:01	
25	28285087	YGVEVO	YG - Why You Always Hatin? ft. Drake, Kamaiyah	4:14	
26	43782133	FrenchMontanaVEVO	French Montana - No Shopping ft. Drake	5:22	
27	62644895	DJKhaledVEVO	DJ Khaled - I Got the Keys ft. Jay Z, Future	4:09	
28	4013004	CMAVEVO	Artists Of Then, Now &amp; Forever - Forever Country	4:10	
29	304281492	majorlazer	Major Lazer - Cold Water (feat. Justin Bieber &amp; MÃ˜) (Official Lyric Video)	3:09	
30	32555320	KanyeWestVEVO	Kanye West - Fade (Explicit)	3:45	
31	6692262	New Trailer Buzz	BIRTH OF THE DRAGON Trailer (2016) Bruce Lee Movie	3:26	
32	6592289	Zero Media	Pirates of the Caribbean: Dead Men Tell No Tales Official Teaser Trailer #1 (2017) Movie HD	2:20	
33	4075583	Trailers and Teasers	Avengers Infinity War Part 1 Official Trailer 2018 Comic Con Marvel&#39;s Avengers ÐœÑ�Ñ‚Ð¸Ñ‚ÐµÐ»Ð¸ Ð’Ð¾Ð¹Ð½Ð°	1:47	
34	18997402	FilmIsNow Family Movie Trailers	SING | Sing for Gold in a new Spot [Family Animated Movie 2016]	6:14	
35	5224677	Warner Bros. Pictures	Fantastic Beasts and Where to Find Them - Final Trailer [HD]	2:42	
36	2594177	Paramount Pictures	Fences Teaser Trailer (2016) - Paramount Pictures	1:51	
37	1473489	The Film Theorists	Film Theory: Is Miss Peregrine&#39;s BETTER than Hogwarts? (Miss Peregrine&#39;s Home for Peculiar Children)	16:04	
38	1622748	TerraStone	Star Wars: Rogue One (2016) FINAL TRAILER - Felicity Jones Movie HD [F-M]	2:38	
39	1082990	RedLetterMedia	Mr. Plinkett&#39;s The Star Wars Awakens Review	1:45:08	
40	2268522	TrolleySmasher	The Batman: Under the Red Hood - (2018) Movie Trailer (Fan Made)	1:54	
41	1339215	TheEllenShow	First Look! &#39;Fantastic Beasts and Where to Find Them&#39; Full Trailer	2:43	
42	3445952	Fresh Movie Trailers	Disney&#39;s MOANA - TRAILER # 3 (2016)	6:08	
43	10285028	Sony Music India	Channa Mereya -  Ae Dil Hai Mushkil | Karan Johar | Ranbir | Anushka | Aishwarya | Pritam | Arijit	2:32	
44	954129	Marvel Entertainment	Doctor Strange TV Spot	1:01	
45	9559162	20th Century Fox	Miss Peregrine&#39;s Home for Peculiar Children | Official Trailer [HD] | 20th Century FOX	2:34	
46	16449500	CrazyRussianHacker	Easy Fix Car Scratches with WD-40	5:01	
